iter	Passed	Remaining
403	7393	1756
404	7409	1738
405	7426	1719
406	7442	1700
407	7462	1682
408	7484	1665
409	7507	1648
410	7524	1629
411	7541	1610
412	7558	1592
413	7575	1573
414	7591	1554
415	7606	1535
416	7622	1517
417	7639	1498
418	7658	1480
419	7672	1461
420	7689	1442
421	7706	1424
422	7722	1405
423	7738	1387
424	7754	1368
425	7770	1349
426	7786	1331
427	7802	1312
428	7816	1293
429	7833	1275
430	7847	1256
431	7863	1237
432	7879	1219
433	7895	1200
434	7911	1182
435	7930	1164
436	7947	1145
437	7970	1128
438	7986	1109
439	8003	1091
440	8021	1073
441	8037	1054
442	8059	1037
443	8075	1018
444	8092	1000
445	8111	982
446	8130	964
447	8151	946
448	8166	927
449	8182	909
450	8199	890
451	8215	872
452	8236	854
453	8256	836
454	8277	818
455	8294	800
456	8311	782
457	8327	763
458	8344	745
459	8358	726
460	8375	708
461	8394	690
462	8410	672
463	8428	653
464	8446	635
465	8464	617
466	8482	599
467	8508	581
468	8530	563
469	8549	545
470	8567	527
471	8582	509
472	8598	490
473	8615	472
474	8632	454
475	8648	436
476	8664	417
477	8679	399
478	8695	381
479	8712	363
480	8729	344
481	8745	326
482	8762	308
483	8778	290
484	8795	272
485	8812	253
486	8826	235
487	8842	217
488	8859	199
489	8875	181
490	8892	162
491	8908	144
492	8923	126
493	8938	108
494	8954	90
495	8970	72
496	8989	54
497	9006	36
498	9025	18
499	9043	0
