iter	MultiClass
259	0.9582439174
260	0.9581427031
261	0.9580002228
262	0.9577680082
263	0.9575657386
264	0.9573938547
265	0.9572538018
266	0.9570745649
267	0.9569066623
268	0.9567446364
269	0.9565764751
270	0.956371568
271	0.9561803236
272	0.9559604848
273	0.9557703896
274	0.9555631764
275	0.9554286002
276	0.9552390691
277	0.9549885397
278	0.9548327226
279	0.9546416458
280	0.9544676847
281	0.9542962874
282	0.9540652972
283	0.9538958025
284	0.9537490836
285	0.9535989721
286	0.953455674
287	0.9532508262
288	0.9530927243
289	0.9529549846
290	0.9527400551
291	0.9525123144
292	0.9524108583
293	0.9522725376
294	0.9521153065
295	0.9520088946
296	0.9518856737
297	0.9516863978
298	0.9514566914
299	0.9513043209
300	0.9511867594
301	0.951070562
302	0.9509183373
303	0.9507490379
304	0.9506035663
305	0.9504403501
306	0.9502283283
307	0.9500233002
308	0.9499271594
309	0.9496673258
310	0.9494784039
311	0.949317206
312	0.949122285
313	0.9489868118
314	0.948888903
315	0.9487017801
316	0.9485557178
317	0.9484510542
318	0.9482612462
319	0.9480443827
320	0.9479312038
321	0.9477894758
322	0.9476268137
323	0.9474169041
324	0.9472552508
325	0.9471124225
326	0.9469967664
327	0.9468524735
328	0.9466792605
329	0.9465489461
330	0.9464386964
331	0.9463435337
332	0.9462167289
333	0.9459730885
334	0.945904981
335	0.9457547563
336	0.9456835249
337	0.945496872
338	0.9453422416
339	0.945223651
340	0.9450896906
341	0.944955749
342	0.9448385487
343	0.9446793637
344	0.9445779701
345	0.9444121827
346	0.9443083763
347	0.9441494941
348	0.9440179342
349	0.9439483276
350	0.94386557
351	0.9437226645
352	0.9436442986
353	0.9434731055
354	0.9433095208
355	0.9431652306
356	0.9430038583
357	0.9428227152
358	0.9426647263
359	0.9424496795
360	0.9423607364
361	0.9421875456
362	0.9421076819
363	0.9419424297
364	0.9418069102
365	0.9416636153
366	0.9414914645
367	0.9414311625
368	0.9412962065
369	0.9411586564
370	0.9410005152
371	0.9408618266
372	0.9406709205
373	0.9405221017
374	0.9404461386
375	0.9403043547
376	0.9400710366
377	0.9399535413
378	0.9398257283
379	0.9395795582
380	0.939446787
381	0.9392252203
382	0.939070976
383	0.9388444997
384	0.9387366449
385	0.9386379682
386	0.938441402
387	0.9383378612
388	0.9381998542
389	0.9380315124
390	0.9379376645
391	0.9378294484
392	0.9376662627
393	0.9375617067
394	0.9373039557
395	0.9371614539
396	0.9369596871
397	0.9367992193
398	0.9365734171
399	0.9363635021
400	0.9361762069
401	0.9360323746
402	0.9359254701
403	0.9357656369
404	0.9355578239
405	0.9354292245
406	0.9353249015
407	0.9351784985
408	0.9350301755
409	0.9348896423
410	0.934686745
411	0.9344993003
412	0.934361973
413	0.9341500301
414	0.934014776
415	0.9338986165
416	0.9337296555
417	0.9336086374
418	0.9334373598
419	0.9333472894
420	0.9331847509
421	0.9329640967
422	0.932854887
423	0.9327015347
424	0.9325222122
425	0.9323336017
426	0.9322559908
427	0.9321525532
428	0.9320937909
429	0.9318813302
430	0.9317577239
431	0.9315817673
432	0.9314213607
433	0.9312985963
434	0.9311918995
435	0.9310219371
436	0.9308495415
437	0.930702674
438	0.9306303915
439	0.9305162713
440	0.9303287005
441	0.9302293444
442	0.9300121224
443	0.9298344073
444	0.9296784872
445	0.9294750285
446	0.9292476484
447	0.9291404769
448	0.9290465146
449	0.9288853906
450	0.9287113366
451	0.9286258327
452	0.9285088121
453	0.9284201187
454	0.9282759277
455	0.9281160968
456	0.9279367453
457	0.9277801084
458	0.927634204
459	0.9275855344
460	0.9274516411
461	0.9272586937
462	0.9270699918
463	0.926877608
464	0.9267669113
465	0.9266628478
466	0.9264735917
467	0.9263795569
468	0.9263050498
469	0.9260884208
470	0.9259299473
471	0.9258275477
472	0.9256167111
473	0.9254871418
474	0.9253121624
475	0.9252126571
476	0.9250932594
477	0.9250065368
478	0.9248711956
479	0.9247059676
480	0.9244448268
481	0.9242716693
482	0.9241275654
483	0.9239559372
484	0.9238048025
485	0.923675312
486	0.9235723315
487	0.9234492166
488	0.9233594076
489	0.9232079263
490	0.9230788389
491	0.9229645642
492	0.9227751952
493	0.9226270557
494	0.9225497019
495	0.9223358105
496	0.9221286321
497	0.9220668048
498	0.9218890495
499	0.9217586252
